estacion,fecha,cantidad_pasos
alberdi,1/22/2017,6046
alberdi,1/23/2017,9673
alberdi,1/24/2017,8035
alberdi,1/25/2017,9440
alberdi,1/26/2017,9825
alberdi,1/27/2017,9790
alberdi,1/28/2017,7443
alberdi,1/29/2017,6088
alberdi,1/30/2017,10272
alberdi,1/31/2017,9689
alberdi,2/1/2017,9907
alberdi,2/2/2017,10114
alberdi,2/3/2017,9766
alberdi,2/4/2017,7612
alberdi,2/5/2017,6156
alberdi,2/6/2017,9712
alberdi,2/7/2017,9779
alberdi,2/8/2017,9674
alberdi,2/9/2017,9785
alberdi,2/10/2017,9901
alberdi,2/11/2017,8355
alberdi,2/12/2017,6267
alberdi,2/13/2017,9635
alberdi,2/14/2017,9739
alberdi,2/15/2017,9912
alberdi,2/16/2017,7751
alberdi,2/17/2017,9431
alberdi,2/18/2017,7673
alberdi,2/19/2017,6331
alberdi,2/20/2017,9073
alberdi,2/21/2017,9082
alberdi,2/22/2017,9274
alberdi,2/23/2017,9933
alberdi,2/24/2017,9764
alberdi,2/25/2017,6639
alberdi,2/26/2017,4770
alberdi,2/27/2017,5489
alberdi,2/28/2017,6125
alberdi,3/1/2017,10766
alberdi,3/2/2017,7962
alberdi,3/3/2017,10307
alberdi,3/4/2017,8239
alberdi,3/5/2017,6159
alberdi,3/6/2017,10035
alberdi,3/7/2017,10547
alberdi,3/8/2017,10677
alberdi,3/9/2017,10383
alberdi,3/10/2017,10532
alberdi,3/11/2017,8234
alberdi,3/12/2017,6556
alberdi,3/13/2017,9503
alberdi,3/14/2017,9782
alberdi,3/15/2017,9582
alberdi,3/16/2017,9695
alberdi,3/17/2017,11340
alberdi,3/18/2017,9619
alberdi,3/19/2017,7119
alberdi,3/20/2017,9691
alberdi,3/21/2017,9893
alberdi,3/22/2017,10204
alberdi,3/23/2017,10458
alberdi,3/24/2017,7541
alberdi,3/25/2017,8470
alberdi,3/26/2017,6622
alberdi,3/27/2017,9792
alberdi,3/28/2017,9630
alberdi,3/29/2017,9891
alberdi,3/30/2017,10293
alberdi,3/31/2017,10711
alberdi,4/1/2017,9462
alberdi,4/2/2017,6610
alberdi,4/3/2017,9819
alberdi,4/4/2017,10134
alberdi,4/5/2017,11139
alberdi,4/6/2017,8100
alberdi,4/7/2017,10510
alberdi,4/8/2017,9070
alberdi,4/9/2017,5658
alberdi,4/10/2017,9831
alberdi,4/11/2017,10254
alberdi,4/12/2017,11651
alberdi,4/13/2017,7805
alberdi,4/14/2017,5382
alberdi,4/15/2017,7935
alberdi,4/16/2017,7238
alberdi,4/17/2017,9573
alberdi,4/18/2017,9483
alberdi,4/19/2017,9630
alberdi,4/20/2017,9906
alberdi,4/21/2017,10186
alberdi,4/22/2017,8972
alberdi,4/23/2017,6455
alberdi,4/24/2017,9399
alberdi,4/25/2017,9397
alberdi,4/26/2017,10067
alberdi,4/27/2017,10357
alberdi,4/28/2017,10975
alberdi,4/29/2017,9299
alberdi,4/30/2017,6594
alberdi,5/1/2017,6714
alberdi,5/2/2017,9880
alberdi,5/3/2017,9872
alberdi,5/4/2017,10592
alberdi,5/5/2017,10646
alberdi,5/6/2017,9209
alberdi,5/7/2017,5895
alberdi,5/8/2017,9153
alberdi,5/9/2017,8667
alberdi,5/10/2017,10402
alberdi,5/11/2017,9362
alberdi,5/12/2017,9740
alberdi,5/13/2017,9385
alberdi,5/14/2017,6164
alberdi,5/15/2017,8983
alberdi,5/16/2017,10013
alberdi,5/17/2017,10040
alberdi,5/18/2017,9646
alberdi,5/19/2017,10362
alberdi,5/20/2017,8830
alberdi,5/21/2017,6208
alberdi,5/22/2017,9724
alberdi,5/23/2017,9998
alberdi,5/24/2017,10576
alberdi,5/25/2017,5233
alberdi,5/26/2017,10231
alberdi,5/27/2017,8500
alberdi,5/28/2017,6257
alberdi,5/29/2017,9552
alberdi,5/30/2017,9897
alberdi,5/31/2017,10098
alberdi,6/1/2017,10155
alberdi,6/2/2017,9997
alberdi,6/3/2017,9115
alberdi,6/4/2017,6005
alberdi,6/5/2017,9656
alberdi,6/6/2017,10506
alberdi,6/7/2017,10089
alberdi,6/8/2017,10709
alberdi,6/9/2017,10545
alberdi,6/10/2017,9238
alberdi,6/11/2017,6555
alberdi,6/12/2017,9843
alberdi,6/13/2017,10029
alberdi,6/14/2017,9999
alberdi,6/15/2017,11437
